OSM,Gottingen,Change
Hagenbreite,Galgenbreite,False
Lange Geismar-Straße,Lange-Geismar-Straße,True
Obere Mühlenstraße,Mühlenstraße,False
Untere Straße,Düstere Straße,False
Oberer Wiesentalsweg,Wiesentalsweg,False
Schanzenweg,Schlagenweg,False
Klappfeldstraße,Kampstraße,False
Gartenweg,Hirtenweg,False
Schwarze Gasse,Schäfergasse,False
Ostlandstraße,Planckstraße,False
Esebecker Weg,Eislebener Weg,False
An der Harste,An der Insel,False
Drewesweg,Arbecksweg,False
An der Brücke,An der Tränke,False
Spritweg,Greitweg,False
Helsweg,Helweg,True
Elsa-Brandström-Weg,Elsa-Brändström-Weg,True
Steinflurweg,Steinweg,False
Am Anger,Am Böhnanger,False
Friedrich-Münter-Straße,Friedrich-Jenner-Straße,False
Im Dörmke,Am Dörpe,False
im Dorfe,Im Dorn,False
Am Großen Sieke,Im Großen Feld,False
Vor den Klappen,In der Klappe,False
Westerbergstraße,Weserstraße,False
Uhlenloch,Eulenloch,False
Über den Kohlhöfen,Über den Höfen,False
Obere Gasse,Obere Karspüle,False
Schneeballweg,Schulweg,False
Am Kückenberg,Zum Kükenberg,False
Niedere Kirchstraße,Friedrichstraße,False
Am Weendebach,Am Gewende,False
Spandauer Straße,Spandauer Weg,False
Bahngasse,Brunnengasse,False
Am Göttgenberg,Am Papenberg,False
Lerchenfeld,Lärchenweg,False
An der Rase,An der Insel,False
Kirchgrundsweg,Wichernweg,False
Walter-Nernst-Weg,Walther-Nernst-Weg,True
Raiffeisenstraße,Wiesenstraße,False
Königsweg,Königsstieg,False
Im Kohlhof,Kohlhofsweg,False
Zum Dachsberg,Zum Kuhberg,False
Goethestraße,Lotzestraße,False
Zur Alten Ziegelei,Zur Akelei,False
Wartberg-Kreisel,Am Warteberge,False
Am Westerberg,Am Winterberg,False
Am Teichhof,Am Teiche,False
Petroslilienstraße,Petrosilienstraße,True
Knopensteg,Sonnenstieg,False
Graseweg,Grasweg,False
An der Wakenbreite,Vor der Laakenbreite,False
Steinslieth,Steinbreite,False
Olenhusen,Olenhuser Weg,False
Ascherberg,Eschenbergweg,False
Lange Hecke,Lange Rekesweg,False
Am Hohlen Wege,Hohle Reeke,False
Rudolf-Wissel-Straße,Rudolf-Wissell-Straße,True
Hirtengasse,Hirtenweg,False
Herdingeröderweg,Goerdelerweg,False
Heeresstraße,Beyerstraße,False
August-Lange-Straße,August-Spindler-Straße,False
Landstraße,Londonstraße,False
Höbelweg,Helweg,False
Am Scheunenhof,Am Junkernhof,False
Kaiserallee,Königsallee,False
Birkenallee,Lindenallee,False
Untere Mühlenstraße,Mühlenstraße,False
Gelliehäuser Straße,Ulrideshuser Straße,False
Kleine Lehmkuhle,In der Lehmkuhle,False
Rathausplatz,Sachsenplatz,False
Stadtweg,Am Stadtweg,False
Steinsmühle,Gartemühle,False
Am Kreuzsteine,Am Kreuze,False
Panzerstraße,Paulinerstraße,False
Kleines Feld,Kleines Wasser,False
